Time,Mode,Type,Entry,SL,Target,Exit,PnL,RR,Outcome,Plan
2026-05-02 20:19:03.736643,Range,BUY,100.0,80.0,120.0,120.0,20.0,1.0,Win,
2026-05-02 20:23:20.904386,Breakout,BUY,100.0,80.0,120.0,120.0,20.0,1.0,Win,
2026-05-03 15:22:15.997223,Range,BUY,24504.0,24320.0,24776.0,24592.0,88.0,0.48,Win,
2026-05-03 16:05:04.219007,Breakout,SELL,11340.0,11706.0,10600.0,10700.0,640.0,1.75,Win,
2026-05-03 16:08:23.914404,Range,BUY,11182.0,10600.0,11600.0,11600.0,418.0,0.72,Win,
2026-05-03 16:15:16.609726,Range,SELL,11970.0,12200.0,11360.0,12200.0,-230.0,-1.0,Loss,
2026-05-03 16:17:26.016389,Breakout,SELL,11400.0,11600.0,11200.0,11172.0,228.0,1.14,Win,
2026-05-03 16:20:32.600271,Range,BUY,9553.0,8870.0,11200.0,8880.0,-673.0,-0.99,Loss,
2026-05-03 16:24:51.414001,Breakout,BUY,11768.0,11200.0,12500.0,12690.0,922.0,1.62,Win,
2026-05-03 16:35:42.393323,Breakout,BUY,15580.0,15000.0,16400.0,16400.0,820.0,1.41,Win,
